"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable"
msbf_ctl,jurisdiction_profile,16,jurisdiction_code,text,NO
msbf_ctl,jurisdiction_profile,17,country_code,character,NO
msbf_ctl,jurisdiction_profile,18,transaction_amount_floor,numeric,YES
msbf_ctl,jurisdiction_profile,19,transaction_amount_ceiling,numeric,YES
msbf_ctl,jurisdiction_profile,20,profile_payload,jsonb,NO
msbf_ctl,m1_15_consumption_contract_registry,1,contract_code,text,NO
msbf_ctl,m1_15_consumption_contract_registry,2,contract_version,integer,NO
msbf_ctl,m1_15_consumption_contract_registry,3,module1_run_id,bigint,NO
msbf_ctl,m1_15_consumption_contract_registry,4,schema_version,text,NO
msbf_ctl,m1_15_consumption_contract_registry,5,scenario_set_id,bigint,NO
msbf_ctl,m1_15_consumption_contract_registry,6,contract_status,text,NO
msbf_ctl,m1_15_consumption_contract_registry,7,latest_row_count,integer,NO
msbf_ctl,m1_15_consumption_contract_registry,8,archive_row_count,integer,NO
msbf_ctl,m1_15_consumption_contract_registry,9,comparison_row_count,integer,NO
msbf_ctl,m1_15_consumption_contract_registry,10,latest_set_hash,text,NO
msbf_ctl,m1_15_consumption_contract_registry,11,archive_set_hash,text,NO
msbf_ctl,m1_15_consumption_contract_registry,12,comparison_set_hash,text,NO
msbf_ctl,m1_15_consumption_contract_registry,13,contract_set_hash,text,NO
msbf_ctl,m1_15_consumption_contract_registry,14,combined_set_hash,text,NO
msbf_ctl,m1_15_consumption_contract_registry,15,contract_row_hash,text,NO
msbf_ctl,m1_15_consumption_contract_registry,16,generated_at,timestamp with time zone,NO
msbf_ctl,m1_15_consumption_contract_registry,17,validated_at,timestamp with time zone,YES
msbf_ctl,m1_15_consumption_contract_registry,18,created_by_run_id,bigint,NO
msbf_ctl,m1_16_acquisition_contract_registry,1,contract_code,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,2,contract_version,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,3,module1_run_id,bigint,NO
msbf_ctl,m1_16_acquisition_contract_registry,4,schema_version,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,5,scenario_set_id,bigint,NO
msbf_ctl,m1_16_acquisition_contract_registry,6,methodology_version,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,7,source_m1_15_contract_code,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,8,source_m1_15_contract_version,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,9,source_m1_15_schema_version,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,10,source_m1_15_combined_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,11,source_m1_14_combined_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,12,policy_configuration_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,13,contract_status,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,14,source_profile_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,15,campaign_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,16,funnel_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,17,cost_ledger_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,18,touchpoint_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,19,attribution_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,20,cost_snapshot_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,21,component_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,22,latest_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,23,archive_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,24,integrated_view_row_count,integer,NO
msbf_ctl,m1_16_acquisition_contract_registry,25,source_profile_set_hash,text,NO
