schema_name,table_name,column_ordinal,column_name,data_type,nullable,m1_4_dependency
msbf_ctl,run_registry,25,created_at,timestamptz,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,1,run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,2,source_code,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,3,source_contract_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,4,source_cutoff_timestamp,timestamptz,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,5,source_row_count,bigint,True,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,6,source_hash,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,7,quality_status,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_source_snapshot,8,created_at,timestamptz,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,1,source_contract_id,bigint GENERATED ALWAYS AS IDENTITY,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,2,source_code,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,3,contract_version,integer,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,4,business_name,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,5,expected_grain,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,6,required_history_days,integer,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,7,freshness_sla_hours,integer,True,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,8,minimum_completeness_rate,"numeric(9,6)",False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,9,reconciliation_tolerance_rate,"numeric(9,6)",True,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,10,effective_start_date,date,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,11,effective_end_date,date,True,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,12,status,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,13,owner_role,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,14,schema_definition,jsonb,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,15,quality_rules,jsonb,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,16,created_at,timestamptz,False,Referenced by controlled M1.4 SQL
msbf_ctl,source_contract,17,created_by,text,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,1,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,2,as_of_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,3,business_bureau_score,smallint,True,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,4,score_band,text,True,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,5,delinquency_count_12m,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,6,tax_lien_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,7,bankruptcy_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,8,prior_business_default_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,9,ucc_filing_count,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,10,source_snapshot_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_m1,application_business_credit_snapshot,11,created_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,1,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,2,obligation_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,3,as_of_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,4,obligation_type,text,False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,5,outstanding_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,6,daily_payment_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,7,monthly_payment_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,8,remittance_rate,"numeric(9,6)",True,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,9,lien_position,smallint,True,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,10,short_term_financing_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,11,stacking_sequence,smallint,True,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,12,source_snapshot_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_m1,application_obligation_snapshot,13,created_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,1,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,2,party_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,3,as_of_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,4,owner_credit_score,smallint,True,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,5,score_band,text,True,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,6,delinquency_count_12m,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,7,major_derogatory_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,8,bankruptcy_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,9,source_snapshot_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_m1,application_owner_credit_snapshot,10,created_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,1,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,2,collateral_type,text,False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,3,as_of_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,4,gross_value,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,5,existing_lien_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,6,estimated_haircut_rate,"numeric(9,6)",False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,7,available_value,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,8,ownership_verified_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,9,valuation_confidence_tier,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,10,source_snapshot_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_m1,collateral_availability_snapshot,11,created_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,1,module1_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,2,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,3,path_day,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,4,expected_payment_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,5,expected_principal_reduction,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,6,expected_outstanding_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,7,default_timing_weight,"numeric(12,8)",False,Referenced by controlled M1.4 SQL
msbf_m1,ead_path_snapshot,8,weighted_ead_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
