schema_name,table_name,column_name
msbf_m1,application_owner_credit_snapshot,major_derogatory_flag
msbf_m1,application_owner_credit_snapshot,merchant_application_id
msbf_m1,application_owner_credit_snapshot,owner_credit_score
msbf_m1,application_owner_credit_snapshot,party_id
msbf_m1,application_owner_credit_snapshot,score_band
msbf_m1,application_owner_credit_snapshot,source_snapshot_id
msbf_m1,collateral_availability_snapshot,as_of_date
msbf_m1,collateral_availability_snapshot,available_value
msbf_m1,collateral_availability_snapshot,collateral_type
msbf_m1,collateral_availability_snapshot,created_by_run_id
msbf_m1,collateral_availability_snapshot,estimated_haircut_rate
msbf_m1,collateral_availability_snapshot,existing_lien_amount
msbf_m1,collateral_availability_snapshot,gross_value
msbf_m1,collateral_availability_snapshot,merchant_application_id
msbf_m1,collateral_availability_snapshot,ownership_verified_flag
msbf_m1,collateral_availability_snapshot,source_snapshot_id
msbf_m1,collateral_availability_snapshot,valuation_confidence_tier
msbf_m1,ead_path_snapshot,default_timing_weight
msbf_m1,ead_path_snapshot,expected_outstanding_balance
msbf_m1,ead_path_snapshot,expected_payment_amount
msbf_m1,ead_path_snapshot,expected_principal_reduction
msbf_m1,ead_path_snapshot,merchant_application_id
msbf_m1,ead_path_snapshot,module1_run_id
msbf_m1,ead_path_snapshot,path_day
msbf_m1,ead_path_snapshot,path_hash
msbf_m1,ead_path_snapshot,weighted_ead_amount
msbf_m1,feature_value,calculation_hash
msbf_m1,feature_value,feature_code
msbf_m1,feature_value,feature_version
msbf_m1,feature_value,merchant_application_id
msbf_m1,feature_value,module1_run_id
msbf_m1,feature_value,observation_end_date
msbf_m1,feature_value,observation_start_date
msbf_m1,feature_value,source_snapshot_id
msbf_m1,feature_value,value_boolean
msbf_m1,feature_value,value_date
msbf_m1,feature_value,value_numeric
msbf_m1,feature_value,value_text
msbf_m1,guarantee_availability_snapshot,as_of_date
msbf_m1,guarantee_availability_snapshot,created_by_run_id
msbf_m1,guarantee_availability_snapshot,guarantee_available_flag
msbf_m1,guarantee_availability_snapshot,guarantee_capacity_amount
msbf_m1,guarantee_availability_snapshot,guarantee_type
msbf_m1,guarantee_availability_snapshot,merchant_application_id
msbf_m1,guarantee_availability_snapshot,party_id
msbf_m1,guarantee_availability_snapshot,source_snapshot_id
msbf_m1,guarantee_availability_snapshot,verification_status
msbf_m1,merchant_application,application_channel
msbf_m1,merchant_application,application_date
msbf_m1,merchant_application,application_status
msbf_m1,merchant_application,as_of_date
msbf_m1,merchant_application,created_by_run_id
msbf_m1,merchant_application,merchant_application_id
msbf_m1,merchant_application,merchant_id
msbf_m1,merchant_application,partner_channel_id
msbf_m1,merchant_application,population_id
msbf_m1,merchant_application,processor_account_id
msbf_m1,merchant_application,request_hash
msbf_m1,merchant_application,requested_expected_payoff_days
msbf_m1,merchant_application,requested_finance_charge_amount
msbf_m1,merchant_application,requested_funding_amount
msbf_m1,merchant_application,requested_remittance_rate
msbf_m1,merchant_application,requested_total_repayment_amount
msbf_m1,merchant_application,requested_use_of_proceeds
msbf_m1,merchant_deposit_daily_base,available_balance
msbf_m1,merchant_deposit_daily_base,closing_balance
msbf_m1,merchant_deposit_daily_base,deposit_amount
msbf_m1,merchant_deposit_daily_base,generated_by_run_id
msbf_m1,merchant_deposit_daily_base,merchant_id
msbf_m1,merchant_deposit_daily_base,minimum_balance
msbf_m1,merchant_deposit_daily_base,negative_balance_flag
msbf_m1,merchant_deposit_daily_base,nsf_count
msbf_m1,merchant_deposit_daily_base,observation_date
msbf_m1,merchant_deposit_daily_base,opening_balance
msbf_m1,merchant_deposit_daily_base,population_id
msbf_m1,merchant_deposit_daily_base,row_hash
msbf_m1,merchant_deposit_daily_base,source_contract_id
msbf_m1,merchant_deposit_daily_base,withdrawal_amount
msbf_m1,merchant_deposit_daily_scenario,available_balance
msbf_m1,merchant_deposit_daily_scenario,base_row_hash
