schema_name,table_name,ordinal_position,column_name,data_type,nullable,default_expression,stage
msbf_m1,acquisition_marketing_campaign,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,2,acquisition_campaign_id,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,3,acquisition_source_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,4,accepted_partner_channel_id,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,5,campaign_family_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,6,campaign_type,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,7,campaign_name_synthetic,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,8,effective_start_date,date,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,9,effective_end_date,date,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,10,campaign_status,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,11,approval_status,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,12,audience_segment_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,13,budget_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,acquisition_marketing_campaign,14,spend_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,acquisition_marketing_campaign,15,owner_classification,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,16,vendor_partner_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,17,always_on_flag,boolean,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,18,campaign_evidence_status,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,19,row_hash,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,20,created_by_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,21,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,acquisition_campaign_funnel_stage,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,2,acquisition_campaign_id,text,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,3,stage_code,text,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,4,stage_order,smallint,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,5,period_start_date,date,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,6,period_end_date,date,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,7,stage_count,bigint,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,8,applicability_status,text,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,9,conversion_rate_from_prior,"numeric(12,8)",YES,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,10,evidence_basis_code,text,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,11,evidence_status,text,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,12,row_hash,text,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,13,created_by_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,14,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,acquisition_cost_ledger,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_cost_ledger,2,acquisition_cost_line_id,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,3,acquisition_campaign_id,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,4,acquisition_source_code,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,5,cost_component_code,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,6,cost_basis_code,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,7,cost_timing_code,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,8,quantity,"numeric(24,6)",NO,,M1.16
msbf_m1,acquisition_cost_ledger,9,unit_cost_amount,"numeric(18,6)",YES,,M1.16
msbf_m1,acquisition_cost_ledger,10,unit_rate,"numeric(12,8)",YES,,M1.16
msbf_m1,acquisition_cost_ledger,11,gross_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,acquisition_cost_ledger,12,currency_code,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,13,incurred_effective_date,date,NO,,M1.16
msbf_m1,acquisition_cost_ledger,14,allocable_flag,boolean,NO,,M1.16
msbf_m1,acquisition_cost_ledger,15,conditional_flag,boolean,NO,,M1.16
msbf_m1,acquisition_cost_ledger,16,allocation_method_code,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,17,accepted_m1_14_overlap_class,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,18,evidence_basis_code,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,19,evidence_status,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,20,row_hash,text,NO,,M1.16
msbf_m1,acquisition_cost_ledger,21,created_by_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_cost_ledger,22,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,application_acquisition_touchpoint,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,2,merchant_application_id,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,3,touchpoint_sequence,smallint,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,4,merchant_id,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,5,acquisition_source_code,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,6,acquisition_campaign_id,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,7,touchpoint_type,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,8,touchpoint_timestamp,timestamptz,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,9,first_touch_flag,boolean,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,10,last_touch_flag,boolean,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,11,primary_attribution_flag,boolean,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,12,assisted_touch_flag,boolean,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,13,attribution_weight,"numeric(9,6)",NO,,M1.16
msbf_m1,application_acquisition_touchpoint,14,support_status,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,15,evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,16,accepted_partner_channel_id,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,17,row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,18,created_by_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_touchpoint,19,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,application_acquisition_attribution_snapshot,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,2,merchant_application_id,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,3,population_id,text,NO,,M1.16
