"result_set_code","catalog_sequence","object_code","expected_row_count","physical_row_count","row_count_match_flag","registry_set_hash","reconstructed_set_hash","set_hash_match_flag"
M2_11_DETAIL_08_SOURCE_SNAPSHOT_RECONCILIATION,6,msbf_m2.portfolio_strategy_application_source_snapshot,1500,1500,true,"3df46d87305114715988fa7ecba38669","3df46d87305114715988fa7ecba38669",true
M2_11_DETAIL_08_SOURCE_SNAPSHOT_RECONCILIATION,7,msbf_m2.portfolio_strategy_candidate_source_snapshot,557,557,true,aafdf4bfe5de1a8755f1bdc87b33194d,aafdf4bfe5de1a8755f1bdc87b33194d,true
M2_11_DETAIL_08_SOURCE_SNAPSHOT_RECONCILIATION,8,msbf_m2.portfolio_strategy_account_source_snapshot,59,59,true,"82fddedd7f63ae212a633e2e483a61df","82fddedd7f63ae212a633e2e483a61df",true
M2_11_DETAIL_08_SOURCE_SNAPSHOT_RECONCILIATION,9,msbf_m2.portfolio_strategy_kpi_source_snapshot,72,72,true,"6811a406c1740528d3712e63c55bd150","6811a406c1740528d3712e63c55bd150",true
M2_11_DETAIL_08_SOURCE_SNAPSHOT_RECONCILIATION,10,msbf_m2.portfolio_strategy_queue_source_snapshot,3,3,true,"8002b9cdc0eaee2cb87e47beb1892aaf","8002b9cdc0eaee2cb87e47beb1892aaf",true
