table_name,ordinal_position,column_name,data_type,nullable,default_expression,business_definition
application_unit_economics_snapshot,63,economic_tier,smallint,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,64,stress_economic_worsening_flag,boolean,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,65,hurdle_pass_flag,boolean,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,66,economic_status,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,67,hard_stop_recommended_flag,boolean,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,68,manual_review_recommended_flag,boolean,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,69,fallback_path_code,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,70,primary_economic_reason_code,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,71,secondary_economic_reason_codes,text[],NO,'{}'::text[],M1.14 governed physical output field
application_unit_economics_snapshot,72,row_hash,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,73,created_by_run_id,bigint,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,74,created_at,timestamptz,NO,clock_timestamp(),M1.14 governed physical output field
unit_economics_component_value,1,module1_run_id,bigint,NO,,M1.14 governed physical output field
unit_economics_component_value,2,scenario_id,bigint,NO,,M1.14 governed physical output field
unit_economics_component_value,3,merchant_application_id,text,NO,,M1.14 governed physical output field
unit_economics_component_value,4,component_code,text,NO,,M1.14 governed physical output field
unit_economics_component_value,5,component_version,smallint,NO,1,M1.14 governed physical output field
unit_economics_component_value,6,component_amount,"numeric(18,2)",YES,,M1.14 governed physical output field
unit_economics_component_value,7,component_rate,"numeric(12,8)",YES,,M1.14 governed physical output field
unit_economics_component_value,8,component_sign,smallint,NO,,M1.14 governed physical output field
unit_economics_component_value,9,component_status,text,NO,,M1.14 governed physical output field
unit_economics_component_value,10,component_reason_code,text,NO,,M1.14 governed physical output field
unit_economics_component_value,11,source_lineage_hash,text,NO,,M1.14 governed physical output field
unit_economics_component_value,12,calculation_hash,text,NO,,M1.14 governed physical output field
unit_economics_component_value,13,created_by_run_id,bigint,NO,,M1.14 governed physical output field
unit_economics_component_value,14,created_at,timestamptz,NO,clock_timestamp(),M1.14 governed physical output field
