relation_name,column_name,data_type,reference_scope
msbf_ctl.scenario_registry,scenario_version,integer,Referenced upstream or control relation
msbf_ctl.scenario_registry,status,text,Referenced upstream or control relation
msbf_ctl.scenario_set,business_name,text,Referenced upstream or control relation
msbf_ctl.scenario_set,created_at,timestamptz,Referenced upstream or control relation
msbf_ctl.scenario_set,created_by,text,Referenced upstream or control relation
msbf_ctl.scenario_set,owner_role,text,Referenced upstream or control relation
msbf_ctl.scenario_set,purpose,text,Referenced upstream or control relation
msbf_ctl.scenario_set,scenario_set_code,text,Referenced upstream or control relation
msbf_ctl.scenario_set,scenario_set_id,bigint GENERATED ALWAYS AS IDENTITY,Referenced upstream or control relation
msbf_ctl.scenario_set,scenario_set_version,integer,Referenced upstream or control relation
msbf_ctl.scenario_set,status,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,active_sales_day_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,annualized_eligible_sales,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,as_of_date,date,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,average_available_balance_30d,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,avg_daily_eligible_sales_30d,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,avg_daily_eligible_sales_60d,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,avg_daily_eligible_sales_7d,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,avg_daily_eligible_sales_90d,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,cash_flow_buffer_days,"numeric(12,4)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,chargeback_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,created_at,timestamptz,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,created_by_run_id,bigint,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,daily_sales_cv_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,daily_sales_cv_90d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,data_confidence_tier,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,deposit_history_days,integer,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,deposit_quality_status,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,deposit_source_snapshot_id,bigint,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,deposit_to_eligible_sales_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,downstream_routing_status,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,feature_completeness_status,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,feature_snapshot_hash,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,fraud_risk_tier,smallint,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,history_end_date,date,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,history_start_date,date,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,largest_30d_share_180d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,manual_review_recommended_flag,boolean,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,merchant_application_id,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,merchant_id,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,minimum_balance_30d,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,module1_run_id,bigint,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,negative_balance_day_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,nsf_count_30d,integer,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,population_id,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,pos_deposit_reconciliation_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,pos_history_days,integer,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,pos_quality_status,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,pos_source_snapshot_id,bigint,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,processor_continuity_risk_tier,smallint,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,processor_continuity_status,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,processor_degraded_day_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,processor_outage_day_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,ready_for_downstream_flag,boolean,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,refund_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,reversal_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,sales_growth_30d_vs_90d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,sales_growth_7d_vs_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_available_balance_delta_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_chargeback_rate_delta_30d,"numeric(12,8)",Referenced upstream or control relation
